Time	Position	Velocity	Acceleration	Position	Velocity	Acceleration
8.66	0.226	-0.025	-1.009	0.224	-0.048	-0.846
8.68	0.227	-0.087	0.385	0.220	-0.036	-0.235
8.70	0.220	-0.012	1.786	0.224	-0.058	0.467
8.72	0.227	0.043	0.703	0.217	-0.038	1.789
8.74	0.224	0.010	-0.270	0.220	0.071	0.432
8.76	0.226	0.005	-0.147	0.224	0.010	-2.150
8.78	0.223	0.010	-0.029	0.221	-0.065	-2.446
8.80	0.227	0.000	0.248	0.221	-0.131	-0.624
8.82	0.223	0.010	0.789	0.214	-0.097	1.896
8.84	0.227	0.058	0.198	0.217	-0.023	2.941
8.86	0.227	0.027	-0.818	0.214	0.012	3.694
8.88	0.227	0.008	-1.093	0.214	0.170	2.030
8.90	0.227	-0.019	-1.036	0.224	0.162	-2.420
8.92	0.227	-0.051	-0.148	0.224	0.017	-4.291
8.94	0.224	-0.038	1.189	0.223	-0.099	-2.194
8.96	0.224	0.031	1.061	0.216	-0.054	-0.158
8.98	0.228	0.018	0.187	0.223	-0.056	0.074
9.00	0.224	0.019	0.021	0.215	-0.118	2.598
9.02	0.228	0.034	-0.624	0.212	0.061	3.982
9.04	0.228	-0.025	-0.449	0.219	0.161	0.300
9.06	0.225	0.004	0.170	0.223	0.072	-3.296
9.08	0.228	0.023	-0.775	0.223	-0.076	-2.468
9.10	0.228	-0.048	-0.826	0.216	-0.059	0.104
9.12	0.224	-0.044	0.482	0.220	0.002	-0.091
9.14	0.225	0.000	0.707	0.220	-0.065	-0.208
9.16	0.226	-0.005	0.491	0.216	-0.061	1.728
9.18	0.225	0.004	0.787	0.216	0.013	3.136
